Generacja,Najwy¿sza ocena w generacji,Najni¿sza ocena w generacji,Œrednia ocena generacji
1,-38,-63,-45.8
2,-40,-68,-57.0
3,-32,-66,-51.1
4,-41,-72,-52.2
5,-39,-59,-52.1
6,-39,-69,-54.2
7,-43,-68,-53.6
8,-30,-63,-50.2
9,-48,-64,-57.4
10,-35,-60,-49.2
