Generacja,Najd³u¿szy czas w generacji,Najkrótszy czas w generacji,Œredni czas w generacji
1,0,0,0.0
2,0,0,0.0
3,0,0,0.0
4,0,0,0.0
5,0,0,0.0
6,0,0,0.0
7,0,0,0.0
8,0,0,0.0
9,0,0,0.0
10,0,0,0.0
