Generacja,Najwy¿sza ocena w generacji,Najni¿sza ocena w generacji,Œrednia ocena generacji
1,-944,-1074,-1015.3
2,-959,-1075,-1003.6
3,-932,-1063,-999.0
4,-951,-1079,-1006.7
5,-971,-1085,-1013.5
6,-974,-1127,-1017.1
7,-949,-1055,-1010.6
